y,x1,x2
-5196.02,-7787.42,-3109.72
-9195.63,-9170.92,-8751.98
-1714.69,-7915.62,-5177.02
-8634.38,-554.59,-1645.33
-4529.05,-2157.24,-8595.43
-8750.14,-369.38,-1773.49
-1058.97,-4028.3,-3751.58
-3673.25,-563.77,-3348.5
-860,-5108.55,-6382.12
-7093.93,-4473.18,-4369.59
-185.08,-4462.42,-8641.86
-6840.06,-2790.1,-118.58
-5552.01,-6472.52,-991.28
-7896.07,-6589.46,-140.77
-153.72,-7868.09,-3847.19
-5812.09,-1803.36,-6982.81
-9818.65,-7263.55,-2835.57
-2195.16,-1856.96,-7415.2
-1192.98,-1090.8,-4305.65
-7569.59,-7439.95,-6112.03
-4465.93,-9502.88,-3514.38
-9297.2,-2647.5,-7683.15
-740.17,-5199.63,-9926.61
-4208.72,-194.67,-454.17
-4635.72,-8463.66,-9469.2
-9183.79,-4197.72,-877
-173.45,-1887.02,-8111.43
-9476.77,-752.31,-729.59
-8331.95,-2794.12,-6310.65
-1944.66,-8708.02,-5740.64
-3738.22,-9005.42,-1690.97
-5732.79,-3681.9,-232.25
-7299.52,-597.32,-8075.36
-5828.25,-2074.89,-5995.3
-121.38,-7041.12,-5152.29
-3749.96,-4584.63,-5715.91
-6509.86,-2649.33,-6754.81
-8770.65,-425.93,-2147.21
-8475.07,-3076.28,-1747.07
-7734.68,-4616.62,-9880.98
-7152.02,-885.89,-4697.69
-763.88,-5386.69,-2599.43
-915.81,-3751.04,-6034.55
-3339.5,-3708.97,-5892.04
-1968.62,-6023.65,-7122.44
-9576.92,-7092.99,-9730.07
-7839.03,-9661.05,-8238.74
-4511.15,-8208.63,-9581.54
-4607.69,-2730.52,-1080
-6346.1,-2739.89,-6307.48
-4611.25,-388.36,-8642.96
-5757.75,-6349,-7286.45
-9198.84,-9524.43,-49.68
-8989.53,-5273.81,-2091.8
-8030.66,-1511.61,-6804.64
-5413.11,-171.91,-3928.66
-1733.28,-1536.81,-4079.34
-3421.54,-6381.51,-2479
-2927.63,-7600.56,-1735.88
-8776.52,-4872.37,-415.28
-38.27,-1465.13,-1378.75
-8666.91,-3736.71,-1016.45
-5320.19,-4097.61,-2982.63
-1726.83,-6284.63,-8689.25
-279.39,-5128.24,-5661.99
-9143.87,-4532.44,-5295.25
-7482.62,-4626.01,-386.91
-8656.8,-1429.38,-9197.18
-7236.65,-139.57,-7805.44
-9117.18,-4190.39,-7926.75
-1001.62,-9757.5,-3630.8
-5085.05,-2843.85,-8620.34
-3176.87,-9773.54,-1305.82
-2049.6,-5416.47,-9920.72
-3021.67,-2058.21,-192.88
-6305.07,-941.4,-3508.1
-9894.25,-5250.98,-210.16
-2601.23,-7830.24,-6193.34
-30.64,-1456.37,-7188.88
-8978.95,-4625.56,-6334.23
-4914.49,-1504.44,-8784.51
-2859.14,-6650.85,-8371.21
-2486.04,-5926.47,-1970.28
-3341.77,-9272.66,-7169.66
-2060.08,-3225.46,-2947.43
-9001.4,-1676.63,-8664.92
-6068.16,-2036.78,-9258.71
-7622.76,-2839.19,-2392.8
-6373.93,-5594.69,-7462.57
-7078.35,-8029.17,-2055.09
-1236.03,-2544.37,-1702.94
-617.59,-1237.37,-6813.73
-9600.41,-1693.79,-6505.88
-6526.02,-1593.34,-7352.78
-669.29,-6136.23,-2450.17
-301.26,-9839.48,-967.34
-3885.69,-3120.55,-663.69
-1527.35,-2514.83,-4493.45
-4782.32,-9477.97,-8420.64
-3520.99,-2084.63,-7224.86
-5974.25,-8649.3,-5311.58
-4633.94,-9269.71,-7713.87
-1642.72,-2051.95,-8100.96
-567.29,-9726.65,-3152.08
-5555.76,-2236.97,-7803.25
-6108.1,-60.01,-9679.03
-5866.44,-7870.85,-398.11
-9421.9,-8539.5,-2341.86
-4400.65,-9162.42,-5115.64
-9613.25,-174.18,-8627.36
-2626.04,-3954.31,-3642.64
-7301.06,-8278.97,-6449.63
-5379.34,-5180.84,-3859.82
-9731.96,-5364.38,-819.24
-6590.11,-4061.74,-9786.04
-6519.61,-6746.21,-7597.91
